Name,id,Start,End,URL,Free
Champaign Central Interact Club 5K Turkey Trot,38073726541,2017-11-18 09:30:00,2017-11-18 11:00:00,https://www.eventbrite.com/e/champaign-central-interact-club-5k-turkey-trot-registration-38073726541?aff=ebapi,False
Japanese Tea Ceremony,39412451704,2017-11-18 14:00:00,2017-11-18 15:00:00,https://www.eventbrite.com/e/japanese-tea-ceremony-tickets-39412451704?aff=ebapi,False
Turkey 101 Class with Stan,39628404625,2017-11-19 15:00:00,2017-11-19 18:00:00,https://www.eventbrite.com/e/turkey-101-class-with-stan-tickets-39628404625?aff=ebapi,True
Etched Dichroic Pendants ,39074788745,2017-11-20 13:00:00,2017-11-20 16:00:00,https://www.eventbrite.com/e/etched-dichroic-pendants-tickets-39074788745?aff=ebapi,False
"CAPM 4 days Classroom Training in Champaign, IL",34254133034,2017-11-21 09:00:00,2017-11-24 17:00:00,https://www.eventbrite.com/e/capm-4-days-classroom-training-in-champaign-il-tickets-34254133034?aff=ebapi,False
Holiday Ornaments,39074972294,2017-11-21 18:30:00,2017-11-21 20:30:00,https://www.eventbrite.com/e/holiday-ornaments-tickets-39074972294?aff=ebapi,False
Augustana College vs. the University of Illinois Men's Basketball pre-game reception,39123127327,2017-11-22 16:00:00,2017-11-22 17:30:00,https://www.eventbrite.com/e/augustana-college-vs-the-university-of-illinois-mens-basketball-pre-game-reception-tickets-39123127327?aff=ebapi,True
" ITIL Foundation- 2 days Classroom Training in Champaign, IL",33677663799,2017-11-23 09:00:00,2017-11-24 17:00:00,https://www.eventbrite.com/e/itil-foundation-2-days-classroom-training-in-champaign-il-tickets-33677663799?aff=ebapi,False
Glass Etching - Support Small Business Saturday! ,39370094011,2017-11-25 09:00:00,2017-11-25 12:00:00,https://www.eventbrite.com/e/glass-etching-support-small-business-saturday-tickets-39370094011?aff=ebapi,False
"Big Data and Hadoop Training in Champaign, IL",33792323750,2017-11-28 09:00:00,2017-12-01 17:00:00,https://www.eventbrite.com/e/big-data-and-hadoop-training-in-champaign-il-tickets-33792323750?aff=ebapi,False
"Lean Six Sigma Black Belt-4 days Classroom Training in Champaign, IL",34368268416,2017-11-28 09:00:00,2017-12-01 17:00:00,https://www.eventbrite.com/e/lean-six-sigma-black-belt-4-days-classroom-training-in-champaign-il-tickets-34368268416?aff=ebapi,False
" Lean Six Sigma Green Belt Training in Champaign, IL",33834463792,2017-11-28 09:00:00,2017-12-01 17:00:00,https://www.eventbrite.com/e/lean-six-sigma-green-belt-training-in-champaign-il-tickets-33834463792?aff=ebapi,False
"PMP Training in Champaign, IL",30142276360,2017-11-28 09:00:00,2017-12-02 05:00:00,https://www.eventbrite.com/e/pmp-training-in-champaign-il-tickets-30142276360?aff=ebapi,False
Spacebot Sessions,39058839039,2017-11-28 17:00:00,2017-12-05 19:00:00,https://www.eventbrite.com/e/spacebot-sessions-tickets-39058839039?aff=ebapi,False
Japanese Tea Ceremony,36726270263,2017-11-30 15:00:00,2017-11-30 16:00:00,https://www.eventbrite.com/e/japanese-tea-ceremony-tickets-36726270263?aff=ebapi,False
